index,bonus_type,title,year,era,art_type,qid,sitelinks,item_url,image_url,button_path
33,BONUS_ART_033,Chennakesava Temple,1117,MEDIEVAL,SCULPTURE,Q3536222,22,http://www.wikidata.org/entity/Q3536222,http://commons.wikimedia.org/wiki/Special:FilePath/Chennakeshava%20Temple%20at%20Belur.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_033.tga
34,BONUS_ART_034,Theotokos of Vladimir,1125,MEDIEVAL,PAINTING,Q546241,31,http://www.wikidata.org/entity/Q546241,http://commons.wikimedia.org/wiki/Special:FilePath/Vladimirskaja%20ikona%20Bo%C5%BEiej%20Materi.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_034.tga
35,BONUS_ART_035,Our Lady of Perpetual Help,1350,MEDIEVAL,PAINTING,Q178754,26,http://www.wikidata.org/entity/Q178754,http://commons.wikimedia.org/wiki/Special:FilePath/Nossa%20Senhora%20do%20Perpetuo%20Socorro%20HD.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_035.tga
36,BONUS_ART_036,Black Madonna of Częstochowa,1382,MEDIEVAL,PAINTING,Q573619,34,http://www.wikidata.org/entity/Q573619,http://commons.wikimedia.org/wiki/Special:FilePath/Obraz%20Matki%20Bo%C5%BCej%20Cz%C4%99stochowskiej%20bez%20ram.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_036.tga
37,BONUS_ART_037,Ghent Altarpiece,1432,RENAISSANCE,PAINTING,Q734834,39,http://www.wikidata.org/entity/Q734834,http://commons.wikimedia.org/wiki/Special:FilePath/Lamgods%20open.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_037.tga
38,BONUS_ART_038,Arnolfini Portrait,1434,RENAISSANCE,PAINTING,Q220859,42,http://www.wikidata.org/entity/Q220859,http://commons.wikimedia.org/wiki/Special:FilePath/Van%20Eyck%20-%20Arnolfini%20Portrait.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_038.tga
39,BONUS_ART_039,Ginevra de' Benci,1476,RENAISSANCE,PAINTING,Q1267893,38,http://www.wikidata.org/entity/Q1267893,http://commons.wikimedia.org/wiki/Special:FilePath/Ginevra%20de%27%20Benci%20-%20National%20Gallery%20of%20Art.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_039.tga
40,BONUS_ART_040,Primavera,1480,RENAISSANCE,PAINTING,Q549847,42,http://www.wikidata.org/entity/Q549847,http://commons.wikimedia.org/wiki/Special:FilePath/Sandro%20Botticelli%20-%20La%20Primavera%20-%20Google%20Art%20Project.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_040.tga
41,BONUS_ART_041,Benois Madonna,1480,RENAISSANCE,PAINTING,Q1142058,37,http://www.wikidata.org/entity/Q1142058,http://commons.wikimedia.org/wiki/Special:FilePath/Leonardo%2C%20Madonna%20Benois.JPG,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_041.tga
42,BONUS_ART_042,Adoration of the Magi,1482,RENAISSANCE,PAINTING,Q1638622,34,http://www.wikidata.org/entity/Q1638622,http://commons.wikimedia.org/wiki/Special:FilePath/Leonardo%20da%20Vinci%2C%20Adoration%2C%20c1481%2C%20Uffizi.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_042.tga
43,BONUS_ART_043,Lamentation of Christ,1483,RENAISSANCE,PAINTING,Q546297,32,http://www.wikidata.org/entity/Q546297,http://commons.wikimedia.org/wiki/Special:FilePath/Lamentaci%C3%B3n%20sobre%20Cristo%20muerto%2C%20por%20Andrea%20Mantegna.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_043.tga
44,BONUS_ART_044,The Birth of Venus,1485,RENAISSANCE,PAINTING,Q151047,57,http://www.wikidata.org/entity/Q151047,http://commons.wikimedia.org/wiki/Special:FilePath/Sandro%20Botticelli%20-%20La%20nascita%20di%20Venere%20-%20Google%20Art%20Project%20-%20edited.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_044.tga
45,BONUS_ART_045,The Last Supper,1490,RENAISSANCE,PAINTING,Q128910,87,http://www.wikidata.org/entity/Q128910,http://commons.wikimedia.org/wiki/Special:FilePath/Leonardo%20da%20Vinci%20%281452-1519%29%20-%20The%20Last%20Supper%20%281495-1498%29.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_045.tga
46,BONUS_ART_046,Lady with an Ermine,1490,RENAISSANCE,PAINTING,Q474338,50,http://www.wikidata.org/entity/Q474338,http://commons.wikimedia.org/wiki/Special:FilePath/Lady%20with%20an%20Ermine%20-%20Leonardo%20da%20Vinci%20-%20Google%20Art%20Project.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_046.tga
47,BONUS_ART_047,The Garden of Earthly Delights,1490,RENAISSANCE,PAINTING,Q321303,49,http://www.wikidata.org/entity/Q321303,http://commons.wikimedia.org/wiki/Special:FilePath/Jheronimus%20Bosch%20023.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_047.tga
48,BONUS_ART_048,La Belle Ferronnière,1495,RENAISSANCE,PAINTING,Q656434,34,http://www.wikidata.org/entity/Q656434,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Belle%20Ferroni%C3%A8re%20-%20Google%20Arts.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_048.tga
49,BONUS_ART_049,Pietà (Michelangelo),1499,RENAISSANCE,SCULPTURE,Q235242,56,http://www.wikidata.org/entity/Q235242,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Piet%C3%A0%20by%20Michelangelo%20%2848135182552%29.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_049.tga
50,BONUS_ART_050,David,1500,RENAISSANCE,SCULPTURE,Q179900,80,http://www.wikidata.org/entity/Q179900,http://commons.wikimedia.org/wiki/Special:FilePath/%27David%27%20by%20Michelangelo%20Fir%20JBU004.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_050.tga
51,BONUS_ART_051,Salvator Mundi,1500,RENAISSANCE,PAINTING,Q1892745,49,http://www.wikidata.org/entity/Q1892745,http://commons.wikimedia.org/wiki/Special:FilePath/Leonardo%20da%20Vinci%2C%20Salvator%20Mundi%2C%20c.1500%2C%20oil%20on%20walnut%2C%2045.4%20%C3%97%2065.6%20cm.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_051.tga
52,BONUS_ART_052,Mona Lisa,1503,RENAISSANCE,PAINTING,Q12418,144,http://www.wikidata.org/entity/Q12418,http://commons.wikimedia.org/wiki/Special:FilePath/Mona%20Lisa%2C%20by%20Leonardo%20da%20Vinci%2C%20from%20C2RMF%20natural%20color.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_052.tga
53,BONUS_ART_053,Madonna of Bruges,1503,RENAISSANCE,SCULPTURE,Q567833,32,http://www.wikidata.org/entity/Q567833,http://commons.wikimedia.org/wiki/Special:FilePath/Madonna%20Michelangelo%20Bruges%20-%20JPG2%20%28cropped%29.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_053.tga
54,BONUS_ART_054,The Tempest,1506,RENAISSANCE,PAINTING,Q930137,35,http://www.wikidata.org/entity/Q930137,http://commons.wikimedia.org/wiki/Special:FilePath/Giorgione%2C%20The%20tempest.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_054.tga
55,BONUS_ART_055,Sistine Chapel ceiling,1508,RENAISSANCE,PAINTING,Q844675,34,http://www.wikidata.org/entity/Q844675,http://commons.wikimedia.org/wiki/Special:FilePath/CAPPELLA%20SISTINA%20Ceiling.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_055.tga
56,BONUS_ART_056,Sleeping Venus,1509,RENAISSANCE,PAINTING,Q500812,37,http://www.wikidata.org/entity/Q500812,http://commons.wikimedia.org/wiki/Special:FilePath/Giorgione%20-%20Sleeping%20Venus%20-%20Google%20Art%20Project%202.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_056.tga
57,BONUS_ART_057,Aztec sun stone,1510,RENAISSANCE,SCULPTURE,Q786806,36,http://www.wikidata.org/entity/Q786806,http://commons.wikimedia.org/wiki/Special:FilePath/Piedra%20del%20Sol.tif,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_057.tga
58,BONUS_ART_058,Moses,1510,RENAISSANCE,SCULPTURE,Q1989744,32,http://www.wikidata.org/entity/Q1989744,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Pietro%20in%20Vincole%20May%202022-3.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_058.tga
59,BONUS_ART_059,The Creation of Adam,1511,RENAISSANCE,PAINTING,Q500242,61,http://www.wikidata.org/entity/Q500242,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Creation%20of%20Adam%20perspective%20fix.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_059.tga
60,BONUS_ART_060,The Virgin and Child with Saint Anne,1511,RENAISSANCE,PAINTING,Q563727,38,http://www.wikidata.org/entity/Q563727,http://commons.wikimedia.org/wiki/Special:FilePath/Sainte%20Anne%20Leonard.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_060.tga
61,BONUS_ART_061,The School of Athens,1512,RENAISSANCE,PAINTING,Q186953,61,http://www.wikidata.org/entity/Q186953,http://commons.wikimedia.org/wiki/Special:FilePath/%22The%20School%20of%20Athens%22%20by%20Raffaello%20Sanzio%20da%20Urbino.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_061.tga
62,BONUS_ART_062,Sistine Madonna,1512,RENAISSANCE,PAINTING,Q328079,37,http://www.wikidata.org/entity/Q328079,http://commons.wikimedia.org/wiki/Special:FilePath/Raphael%20-%20The%20Sistine%20Madonna%20-%20Google%20Arts%20%26%20Culture.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_062.tga
63,BONUS_ART_063,Saint John the Baptist,1514,RENAISSANCE,PAINTING,Q783215,34,http://www.wikidata.org/entity/Q783215,http://commons.wikimedia.org/wiki/Special:FilePath/Leonardo%20da%20Vinci%20-%20Saint%20John%20the%20Baptist%20C2RMF%20retouched.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_063.tga
64,BONUS_ART_064,The Ambassadors,1533,RENAISSANCE,PAINTING,Q1212937,34,http://www.wikidata.org/entity/Q1212937,http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Holbein%20the%20Younger%20-%20The%20Ambassadors%20-%20Google%20Art%20Project.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_064.tga
65,BONUS_ART_065,Venus of Urbino,1538,RENAISSANCE,PAINTING,Q727875,40,http://www.wikidata.org/entity/Q727875,http://commons.wikimedia.org/wiki/Special:FilePath/Tiziano%27s%20Venere%20di%20Urbino%20%28from%20The%20History%20BLog%29.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_065.tga
